product_prob,threshold,predicted_keep,store_url,product_id,title,image_url,best_prompt,best_positive_prompt,best_negative_prompt,actual_label,is_correct,notes
0.063818,0.90,0,https://shopthenines.com,8399911551146,Golden Dog Warmies Junior,https://cdn.shopify.com/s/files/1/0084/0954/6829/files/cc79addb1441871df486e3fb7c7bd229ecfe60944297c1232f46ce83db2b0a3d.webp?v=1773778476,a meme,an ecommerce product photo of shoes,a meme,,,
0.091767,0.90,0,https://shopthenines.com,8399911583914,Pig Warmies Junior,https://cdn.shopify.com/s/files/1/0084/0954/6829/files/f258575d8d53dd2006e13767fcde66c224d5a27b04eb02cddc48c662530c8f4f.webp?v=1773778772,a meme,an ecommerce product photo of clothing,a meme,,,
0.120216,0.90,0,https://mghgeneralstore.myshopify.com,9137391632638,Word Fall,https://cdn.shopify.com/s/files/1/1229/3240/files/xvywan72yojm0tcqd4pb.png?v=1771955441,a meme,a clothing item laid flat for online store listing,a meme,,,
0.137416,0.90,0,https://www.themarathonclothing.com,14930023022955,Marathon Burger Long Beach Tote Bag - White,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/Tote-LongBeach.png?v=1773550758,a store logo,an ecommerce product photo of a handbag or accessory,a store logo,,,
0.154881,0.90,0,https://xi-boutique.myshopify.com,9204329578729,Spring Break Trucker Hat,https://cdn.shopify.com/s/files/1/0148/1487/1606/files/XIB26GL402VC700NAVY_WHITE.jpg?v=1771352860,a store logo,an ecommerce product photo of clothing,a store logo,,,
0.243400,0.90,0,https://shopthenines.com,8399911649450,Puppy Warmies Junior,https://cdn.shopify.com/s/files/1/0084/0954/6829/files/18cb290938563fc9d57d0e88d0bd89ae5d21492a8e99b2a19973f4d535c4bd77.webp?v=1773779034,a meme,an ecommerce product photo of shoes,a meme,,,
0.292594,0.90,0,https://mghgeneralstore.myshopify.com,9142949773566,Faber-Castell / Creativity for Kids - Butterfly Wind Chime Mini Kit - DIY Craft Kit for Kids,https://cdn.shopify.com/s/files/1/1229/3240/files/857a79d538ab9171c4936ce2bfc0a7cfcac550ce869ed723ec6b259ab2bb5815.jpg?v=1772730092,a meme,a fashion product image with a model,a meme,,,
0.295972,0.90,0,https://mghgeneralstore.myshopify.com,9142949511422,"Faber-Castell / Creativity for Kids - Soft Touch Paintbrushes, Assorted Sizes - Set of 4",https://cdn.shopify.com/s/files/1/1229/3240/files/1c5a70453ad7cf8f2e61ff4d673da2bcb3495346a9c642fa0c00098d68b469d6.jpg?v=1772730078,a meme,a catalog photo of a garment,a meme,,,
0.306378,0.90,0,https://mghgeneralstore.myshopify.com,9142949314814,Faber-Castell / Creativity for Kids - Sensory Adventure Neon Bugs - Big Fun in a Small Bucket!,https://cdn.shopify.com/s/files/1/1229/3240/files/626f571aeb4b3f64c5cde4e7675bc5c8ceb601b5aeb036bad8926a81ac0fdb4d.jpg?v=1772730065,a meme,an ecommerce product photo of a handbag or accessory,a meme,,,
0.402396,0.90,0,https://www.themarathonclothing.com,14930022072683,Marathon Burger Tote Bag - Black,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/Tote-Black.png?v=1773550641,a store logo,an ecommerce product photo of a handbag or accessory,a store logo,,,
0.423069,0.90,0,https://xi-boutique.myshopify.com,9191294238953,HQ Invoice,https://cdn.shopify.com/s/files/1/0148/1487/1606/files/WAVES_IMAGE.png?v=1770415393,an abstract graphic,a catalog photo of a garment,an abstract graphic,,,
0.570984,0.90,0,https://deanaccessories.net,100313408,PLAIN LEATHER DOG COLLAR,https://cdn.shopify.com/s/files/1/0168/4726/files/F3DBC860-C6CE-46B6-9F43-FDE9BCE4E328.jpg?v=1772468441,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a meme,,,
0.589651,0.90,0,https://www.themarathonclothing.com,14930023317867,Marathon Burger Melrose Tote Bag - White,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/Tote-Melrose.png?v=1773550940,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a meme,,,
0.633807,0.90,0,https://shopthenines.com,8399911616682,Pink Bunny Warmies,https://cdn.shopify.com/s/files/1/0084/0954/6829/files/35d045f0db01ce7c2b667e28884e47f48bbf47010b44fddf6315dbe26a09539d.webp?v=1773778881,an ecommerce product photo of shoes,an ecommerce product photo of shoes,a meme,,,
0.641373,0.90,0,https://bloomingboutique.com,10269981933885,Sorrelli Ocean Viretta Embellished Long Necklace,https://cdn.shopify.com/s/files/1/0717/7361/files/Sorrelli_Ocean_Viretta_Embellished_Long_Necklace.png?v=1773691153,"a catalog image of necklace, ring, bracelet, or earrings","a catalog image of necklace, ring, bracelet, or earrings",a meme,,,
0.668436,0.90,0,https://bloomingboutique.com,10269976494397,Sorrelli Royal Blue Delite Silver Sienna Tennis Bracelet,https://cdn.shopify.com/s/files/1/0717/7361/files/Sorrelli_Royal_Blue_Delite_Silver_Sienna_Tennis_Bracelet.png?v=1773690212,"a catalog image of necklace, ring, bracelet, or earrings","a catalog image of necklace, ring, bracelet, or earrings",an abstract graphic,,,
0.734886,0.90,0,https://ajs-jewelers.myshopify.com,8076448891052,Sterling Silver Script 3D Name Necklace with One Heart,https://cdn.shopify.com/s/files/1/0593/9875/0380/files/GabriellaWhite.jpg?v=1727997960,a product photo of jewelry on a clean background,a product photo of jewelry on a clean background,a store logo,,,
0.740925,0.90,0,https://shopthenines.com,8097043611818,Unicorn Junior Warmies - 2 Colors!,https://cdn.shopify.com/s/files/1/0084/0954/6829/files/990efeac2393590b3abdea334dda39a2ff615e280f695d37a7b8ca0d90bc0f5e.webp?v=1744805138,an ecommerce product photo of shoes,an ecommerce product photo of shoes,a meme,,,
0.752130,0.90,0,https://mghgeneralstore.myshopify.com,9142950265086,Faber-Castell / Creativity for Kids - Stunt Squadron Paper Airplane Craft Kit for Kids,https://cdn.shopify.com/s/files/1/1229/3240/files/6d0e57ed5bbc17a781c812a4d4873ccc8a1719793fe7407a2594dc89d326fd75.jpg?v=1772730119,a catalog photo of a garment,a catalog photo of a garment,a meme,,,
0.761672,0.90,0,https://www.westnyc.com,7621091721321,'47 Brand New York Mets Apple Clean Up Navy Blue,https://cdn.shopify.com/s/files/1/0260/2307/files/1_30a24c02-b0ef-4da9-b066-70449e9e725d.png?v=1760820448,an ecommerce product photo of clothing,an ecommerce product photo of clothing,a meme,,,
0.775858,0.90,0,https://shopandson.com,8792871305352,silk necktie in tan/baby blue stripe,https://cdn.shopify.com/s/files/1/0598/6549/7736/files/DSF4592.jpg?v=1773319907,a catalog photo of a garment,a catalog photo of a garment,a meme,,,
0.791586,0.90,0,https://www.everjean.com,9308351824118,Pinch Me - Surf,https://cdn.shopify.com/s/files/1/2316/5449/files/SR5_540x_215c8ad9-731f-46af-acf1-8ce5408dcfa7.webp?v=1773417309,a product photo of jewelry on a clean background,a product photo of jewelry on a clean background,a meme,,,
0.796126,0.90,0,https://thestockistshop.com,9196918964442,Zelti (Oak/Sedona),https://cdn.shopify.com/s/files/1/0635/3561/2122/files/100U251ZEL-S491-49_800x_d3a481d5-3760-4271-aff6-2d2d5ab025f0.png?v=1773791758,"a catalog image of sunglasses, belt, or hat","a catalog image of sunglasses, belt, or hat",an abstract graphic,,,
0.816008,0.90,0,https://www.themarathonclothing.com,14930017026411,Leo Skateboard T-Shirt - Black,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/LeoSkateboard-Black.png?v=1773549869,an ecommerce product photo of clothing,an ecommerce product photo of clothing,a meme,,,
0.828308,0.90,0,https://www.themarathonclothing.com,14930023350635,Marathon Burger Venice Tote Bag - White,https://cdn.shopify.com/s/files/1/0658/9418/7242/files/Tote-Venice.png?v=1773551017,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a store logo,,,
0.838145,0.90,0,https://thestockistshop.com,8829088465114,Rhyme (Recycled Black/Agave),https://cdn.shopify.com/s/files/1/0635/3561/2122/files/100U251RHY-S482-51_A1_800x_2b2383ba-1771-4460-934d-abf913f3b6ef.png?v=1743643062,"a catalog image of sunglasses, belt, or hat","a catalog image of sunglasses, belt, or hat",a meme,,,
0.839391,0.90,0,https://www.everjean.com,9308351234294,Pinch Me - Retro,https://cdn.shopify.com/s/files/1/2316/5449/files/RT3_540x_c5420491-40da-479a-92a8-471caea6d5bb.webp?v=1773417151,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a store logo,,,
0.849833,0.90,0,https://deanaccessories.net,7558942982278,Plant holder acrylic & leather,https://cdn.shopify.com/s/files/1/0168/4726/files/FullSizeRender_86dcb704-a316-4383-98dd-123246c398a1.heic?v=1773008726,an ecommerce product photo of a handbag or accessory,an ecommerce product photo of a handbag or accessory,a meme,,,
0.875708,0.90,0,https://ajs-jewelers.myshopify.com,8075824234668,Sterling Silver Diamond Cut 3D Name Necklace with One Heart,https://cdn.shopify.com/s/files/1/0593/9875/0380/files/CHRISTINA_3D_WHITE_e06d47e1-108e-46f4-98f1-d92ecd66772d.jpg?v=1727924337,"a catalog image of necklace, ring, bracelet, or earrings","a catalog image of necklace, ring, bracelet, or earrings",a store logo,,,
0.891147,0.90,0,https://39mine.com,7249855479941,Ravello Coverup,https://cdn.shopify.com/s/files/1/0304/1863/2837/files/C8623EFD-BB28-498B-9B4C-6BB4226FA6F4.jpg?v=1773339119,a fashion product image with a model,a fashion product image with a model,a meme,,,
0.892767,0.90,0,https://thestockistshop.com,9196876103898,Rhyme (Caramel/Drift Polarized),https://cdn.shopify.com/s/files/1/0635/3561/2122/files/100U251RHY-S967-51_800x_0bfe438b-4fbc-420b-89dd-de36f3e044f6.png?v=1773791174,a fashion product image with a model,a fashion product image with a model,a meme,,,
0.892782,0.90,0,https://39mine.com,7250828296325,Madison Maxi Dress,https://cdn.shopify.com/s/files/1/0304/1863/2837/files/1a263e5c90996ee369609dda13a66379c5063bb4b22a3d784538f30130166a9f.webp?v=1773778100,an ecommerce product photo of clothing,an ecommerce product photo of clothing,a meme,,,
0.895882,0.90,0,https://ajs-jewelers.myshopify.com,8075825381548,Sterling Silver Two Name 3D Name Necklace,https://cdn.shopify.com/s/files/1/0593/9875/0380/files/ALBERT-JANELLE_WHITE_2b031c92-938f-40a3-8dd3-dca455d6629c.jpg?v=1727924478,"a catalog image of necklace, ring, bracelet, or earrings","a catalog image of necklace, ring, bracelet, or earrings",a store logo,,,
